task,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,sum,rate
task_0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,14,0.88
task_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_2,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5,0.31
task_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_5,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,5,0.31
task_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.06
task_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_14,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,11,0.69
task_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_19,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,14,0.88
task_20,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,4,0.25
task_21,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,9,0.56
task_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_23,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,6,0.38
task_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_27,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,6,0.38
task_28,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,9,0.56
task_29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.06
task_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_31,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,12,0.75
task_32,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.12
task_33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_35,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,15,0.94
task_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_39,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0.25
task_40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_44,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,5,0.31
task_45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_46,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0.94
task_47,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,10,0.62
task_48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
task_49,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,9,0.56
